Date,Name,3rd west,3rd east in-house density,café in-house density,"café, 3rd, 3rd east in-house density",All in-house density, time,Paid,Community,Social,conference,Twitter impressions,Twitter engagements,FB Daily New Likes,FB Daily Unlikes,FB Daily Page Engaged Users,FB Daily Total Reach,FB Daily Total Impressions,FB Daily Reach of page posts,FB Daily Total Impressions of your posts,FB Daily Total Consumers,FB Daily Page consumptions,FB Daily People Talking About This
1-Jun,0,"9,881","5,456",0,"15,337","41,324",0.0,0,0,0,0,10207,116,4,1,68,1368,4238,1271,3256,56,339,27
2-Jun,Real Ventures,"2,504",268,0,"2,772","18,353",6.0,1,1,0,0,0,0,6,0,37,1735,5018,1392,2903,26,89,10
3-Jun,Innocite; Metropolitain Orchestra,"2,835","2,763",0,"5,598","14,908",21.0,1,2,0,0,0,0,3,1,32,1337,3274,974,1510,25,121,8
4-Jun,0,"13,617","3,411",0,"17,028","38,870",0.0,0,0,0,0,1826,15,1,0,32,910,1980,492,598,28,66,4
5-Jun,AngelHack,"6,519","2,737",0,"9,256","13,683",24.0,1,1,0,0,2402,13,3,1,114,1349,2419,12,29,105,316,11
6-Jun,AngelHack,"7,254",577,0,"7,831","24,332",28.0,1,1,0,0,2714,21,3,0,91,1051,1910,56,136,85,108,6
7-Jun,Startup Breakfast Club,"8,945","1,604",0,"10,549","25,565",7.0,1,3,0,0,2640,16,6,1,140,2612,5576,2366,5100,114,389,41
8-Jun,AgileMTL,"10,093","8,569",0,"18,662","52,363",8.0,1,4,0,0,2995,26,6,1,136,3543,8140,2768,6758,118,202,34
9-Jun,CLub LInux,"2,247","4,397",0,"6,644","23,740",6.5,1,2,0,0,1603,28,12,1,151,3240,7966,1995,5764,133,410,33
10-Jun,BDC,"6,007","3,757",0,"9,764","25,261",9.0,1,2,0,1,0,0,5,0,81,2170,5264,1312,3854,65,519,20
11-Jun,BDC,194,25,0,219,"4,154",8.0,1,0,0,1,0,0,3,0,12,900,2218,687,1876,9,23,4
12-Jun,0,57,39,0,96,"1,788",0.0,0,0,0,0,0,0,3,1,14,921,1948,854,1854,9,37,7
13-Jun,Pyxis,"5,347",863,0,"6,210","21,204",4.0,1,0,0,0,3257,23,4,1,470,5223,22836,3391,13638,418,6719,90
14-Jun,Pixelles,"7,322","1,066",0,"8,388","27,072",4.5,1,1,0,0,725,4,5,4,248,4795,19981,2908,12020,234,3553,30
15-Jun,Marketel McCann-Erickson Ltd.,"4,387",598,0,"4,985","23,526",11.0,1,2,0,1,2515,14,7,0,65,3434,15051,2207,10684,47,357,18
16-Jun,Centre NAHA,"8,135","2,197",0,"10,332","35,526",7.0,1,1,0,0,1755,15,6,0,73,3789,13186,2784,10109,53,138,31
17-Jun,PWC,"11,269",559,0,"11,828","32,180",13.0,1,0,0,1,3717,37,4,0,113,2946,9423,2285,7955,90,282,27
18-Jun,Volume7,326,7,0,333,"2,598",4.0,1,1,0,0,0,0,4,0,27,2046,5116,1828,4708,23,37,5
19-Jun,Kids Code,"2,127","1,033",0,"3,160","6,778",8.0,1,1,0,0,0,0,3,1,5,1948,3349,1895,3267,1,16,5
20-Jun,Intuit,"12,594",551,0,"13,145","40,012",11.5,1,1,0,1,1404,17,4,1,51,1661,2675,1280,1913,44,395,10
21-Jun,FounderFuel,"13,199","2,172",0,"15,371","37,945",9.0,1,4,0,0,2725,22,8,0,50,1209,2259,773,1386,35,188,17
22-Jun,Y des Femmes,"6,796","2,331",0,"9,127","36,445",15.0,1,1,0,0,3090,39,8,1,131,1959,3320,396,611,110,180,27
23-Jun,Defi XYZ,"7,216",793,0,"8,009","28,979",3.0,1,1,0,0,3763,23,2,0,302,6567,11044,3757,5724,291,407,13
24-Jun,0,234,"1,758",0,"1,992","6,051",0.0,0,0,0,0,579,3,3,0,41,4578,8943,4039,8136,34,51,8
25-Jun,0,54,7,0,61,"1,225",0.0,0,0,0,0,0,0,0,1,125,4315,6045,3094,4081,113,173,16
26-Jun,0,"1,289",5,0,"1,294","4,132",0.0,0,0,0,0,0,0,3,0,33,4460,5946,3854,5107,30,587,3
27-Jun,Hack the House,"5,177","2,599",0,"7,776","34,493",8.0,0,1,0,0,3908,47,5,0,105,7099,10195,3314,4733,89,192,24
28-Jun,ContactMTL,"8,347","9,824",0,"18,171","45,879",9.0,1,0,0,0,3251,14,7,1,181,11995,19745,1872,4104,168,299,26
29-Jun,Upstarters Concordia (Cheonghee Han),"12,883",322,0,"13,205","32,998",7.0,1,2,2,0,3740,34,8,0,254,13097,25799,5920,15364,223,946,58
30-Jun,AWS User Group,"7,677",429,0,"8,106","28,951",7.5,1,1,0,0,4049,38,3,0,112,8868,18309,5469,13651,104,203,20
1-Jul,FounderFuel,"2,041",12,0,"2,053","4,266",5.0,1,0,0,0,0,0,1,1,33,3789,10768,3566,10389,30,52,4
2-Jul,0,754,15,0,769,"2,491",0.0,0,0,0,0,0,0,3,1,11,3067,5026,2971,4823,8,74,3
3-Jul,0,"1,546",20,0,"1,566","4,528",0.0,0,0,0,0,0,0,1,0,4,3696,5044,3654,4932,2,2,2
4-Jul,Pyxis,"8,896",836,0,"9,732","36,518",4.0,1,0,0,0,4430,42,9,1,134,7509,12223,6687,10441,124,269,15
5-Jul,FounderFuel,"11,564","1,796",0,"13,360","38,783",8.0,1,3,0,0,0,0,6,0,85,7049,10421,6101,8661,75,131,11
7-Jul,FounderFuel,"6,574",548,0,"7,122","23,449",5.0,1,0,0,0,3461,57,2,2,419,9004,20865,6261,14798,403,725,15
8-Jul,FounderFuel,"4,940",671,0,"5,611","27,318",8.5,1,2,1,0,1308,4,4,0,174,8025,16477,6409,13640,161,227,14
6-Jul,PWN School,"10,770","3,749",0,"14,519","40,239",6.5,0,2,0,0,3603,24,3,0,75,6293,10316,5690,9157,67,102,9
9-Jul,0,"1,729",16,0,"1,745","2,553",0.0,0,0,0,0,0,0,4,0,14,1946,2490,1744,2175,9,16,5
10-Jul,Historica Canada,65,10,0,75,"2,793",3.0,1,0,1,0,0,0,2,0,10,406,657,28,37,3,6,6
11-Jul,Pyxis,"6,231","2,369",0,"8,600","40,675",5.5,1,2,0,0,4171,30,6,1,34,4980,8623,4588,8014,24,66,10
12-Jul,0,"3,407",613,0,"4,020","22,306",0.0,0,0,0,0,4814,56,5,0,37,6304,13837,6073,13369,24,70,16
13-Jul,ETS MTL,"3,417","3,431",0,"6,848","18,106",5.5,1,3,0,0,3593,15,9,1,70,8951,25415,6644,22070,50,258,30
14-Jul,BDC,"5,519","2,278",0,"7,797","12,622",9.5,0,1,0,0,1832,14,10,0,80,10117,30179,6507,24396,63,199,26
15-Jul,Startup Weekend EdTech,"1,473",36,0,"1,509","4,442",6.5,0,1,0,0,1996,18,8,2,30,8688,23931,5592,19188,21,78,14
16-Jul,Startup Weekend EdTech,"1,286","1,512",0,"2,798","8,857",31.5,0,2,0,0,1148,15,5,1,23,5097,12453,3154,9965,16,20,8
17-Jul,Startup Weekend EdTech,57,12,0,69,"1,514",22.5,1,1,0,0,1955,31,2,2,31,5026,9743,4714,9236,21,33,11
